product_id,month,units_sold,revenue
PROD_00057,2026-May,16.0,3409.7400000000002
PROD_00207,2026-May,25.0,144762.0
PROD_00131,2026-May,5.0,4730.3099999999995
PROD_00251,2026-May,16.0,19130.36
PROD_00068,2025-May,11.0,4695.76
PROD_00228,2023-February,14.0,68773.86
PROD_00218,2023-February,15.0,36143.6
PROD_00184,2023-July,7.0,37790.42
PROD_00290,2023-June,5.0,493.68000000000006
PROD_00124,2025-July,12.0,20742.42
PROD_00117,2025-May,12.0,2484.7200000000003
PROD_00266,2025-May,13.0,7287.0
PROD_00050,2023-May,19.0,20355.41
PROD_00280,2023-May,22.0,2924.7599999999998
PROD_00110,2025-September,17.0,7182.7300000000005
PROD_00103,2025-September,19.0,15936.42
PROD_00221,2025-July,11.0,14990.869999999999
PROD_00191,2025-September,6.0,8592.52
PROD_00008,2025-October,16.0,51843.75
PROD_00121,2023-July,4.0,5039.530000000001
PROD_00099,2023-July,26.0,12432.02
PROD_00189,2024-April,4.0,8392.24
PROD_00271,2023-March,16.0,6981.129999999999
PROD_00102,2026-July,12.0,26222.61
PROD_00205,2026-July,22.0,8845.32
PROD_00013,2026-July,19.0,9247.210000000001
PROD_00193,2026-May,5.0,4308.42
PROD_00032,2026-May,7.0,8415.119999999999
PROD_00094,2026-May,3.0,5762.04
PROD_00215,2024-February,7.0,16159.16
PROD_00074,2023-January,15.0,22594.9
PROD_00216,2023-February,23.0,14881.71
PROD_00099,2023-February,4.0,1897.0
PROD_00280,2023-July,8.0,1074.4
PROD_00020,2023-July,15.0,12886.960000000003
PROD_00192,2023-July,10.0,13120.74
PROD_00154,2024-October,5.0,15187.6
PROD_00276,2024-October,13.0,14882.91
PROD_00104,2024-October,25.0,79226.28
PROD_00247,2023-March,15.0,3694.57
PROD_00161,2025-October,10.0,4080.3199999999997
PROD_00170,2023-June,16.0,14472.25
PROD_00076,2025-August,17.0,14003.12
PROD_00242,2025-August,21.0,23109.93
PROD_00012,2026-March,9.0,5038.73
PROD_00194,2026-March,15.0,6123.43
PROD_00054,2026-March,21.0,118569.78
PROD_00263,2026-March,15.0,3459.7300000000005
PROD_00284,2024-September,34.0,16792.63
PROD_00167,2026-January,7.0,6308.129999999999
PROD_00013,2023-December,6.0,2895.87
PROD_00001,2023-June,12.0,15537.22
PROD_00034,2023-June,6.0,2688.7
PROD_00235,2023-June,11.0,1284.0
PROD_00288,2025-December,4.0,9009.64
PROD_00293,2024-August,25.0,29274.4
PROD_00084,2024-August,10.0,10597.68
PROD_00104,2024-August,11.0,34326.66
PROD_00056,2023-May,2.0,625.6800000000001
PROD_00295,2025-April,17.0,22667.92
PROD_00195,2024-April,9.0,5850.08
PROD_00160,2024-September,6.0,18354.48
PROD_00171,2026-February,11.0,19978.0
PROD_00042,2026-February,7.0,12494.720000000001
PROD_00148,2026-February,7.0,5662.33
PROD_00055,2023-October,11.0,6811.23
PROD_00213,2025-October,19.0,18868.72
PROD_00036,2025-October,7.0,25245.469999999998
PROD_00241,2025-October,11.0,9968.63
PROD_00147,2025-October,13.0,12855.57
PROD_00210,2024-March,12.0,5873.749999999999
PROD_00089,2025-October,8.0,8268.55
PROD_00062,2025-October,19.0,94651.65000000002
PROD_00015,2025-October,20.0,10116.970000000001
PROD_00025,2025-December,16.0,47249.03999999999
PROD_00132,2025-December,10.0,1538.07
PROD_00280,2024-June,17.0,2247.41
PROD_00081,2026-February,14.0,20624.47
PROD_00118,2023-October,9.0,5324.599999999999
PROD_00204,2024-August,19.0,155164.41
PROD_00208,2024-August,7.0,3552.98
PROD_00245,2024-August,19.0,2499.38
PROD_00032,2023-July,1.0,1187.28
PROD_00034,2026-May,5.0,2195.5
PROD_00151,2026-May,13.0,9452.94
PROD_00093,2024-May,6.0,2675.89
PROD_00092,2024-May,15.0,15896.379999999997
PROD_00050,2024-May,9.0,9666.64
PROD_00282,2026-May,7.0,1005.3100000000001
PROD_00172,2024-March,4.0,6181.3
PROD_00165,2023-April,12.0,13500.080000000002
PROD_00281,2026-March,6.0,4472.43
PROD_00244,2026-March,22.0,17888.66
PROD_00083,2026-March,19.0,25106.18
PROD_00005,2026-June,26.0,54024.11
PROD_00077,2023-July,17.0,15607.95
PROD_00265,2023-July,22.0,33518.31
PROD_00004,2023-May,25.0,54120.85
PROD_00104,2024-September,7.0,21927.879999999997
PROD_00185,2024-September,21.0,78154.86
PROD_00150,2024-September,11.0,16897.34
PROD_00201,2023-August,27.0,11607.940000000002
PROD_00200,2024-June,5.0,3249.5
PROD_00066,2023-January,17.0,5644.92
PROD_00229,2023-January,16.0,16189.68
PROD_00249,2023-January,10.0,15946.27
PROD_00073,2026-January,6.0,2195.96
PROD_00093,2026-January,8.0,3634.6800000000003
PROD_00080,2026-January,6.0,20782.7
PROD_00213,2026-May,15.0,14638.39
PROD_00036,2026-May,12.0,44771.0
PROD_00295,2023-October,15.0,20595.11
PROD_00182,2023-October,15.0,846.4000000000001
PROD_00178,2023-March,7.0,5861.209999999999
PROD_00059,2023-March,15.0,32887.3
PROD_00063,2025-August,8.0,6680.62
PROD_00289,2025-August,6.0,16872.5
PROD_00198,2025-August,12.0,10426.720000000001
PROD_00098,2025-December,19.0,13079.61
PROD_00045,2025-December,17.0,57357.619999999995
PROD_00008,2025-December,8.0,26054.61
PROD_00029,2026-July,9.0,109399.76999999999
PROD_00290,2026-June,6.0,597.22
PROD_00188,2026-June,21.0,7048.099999999999
PROD_00133,2024-October,6.0,14328.87
PROD_00081,2024-August,3.0,4520.9
PROD_00150,2024-April,2.0,3065.06
PROD_00271,2023-September,16.0,7114.620000000001
PROD_00233,2023-September,9.0,9515.560000000001
PROD_00211,2023-September,12.0,19376.219999999998
PROD_00080,2026-May,27.0,90043.01000000001
PROD_00002,2026-May,12.0,72072.33
PROD_00238,2025-December,21.0,27607.95
PROD_00059,2025-December,17.0,36845.81
PROD_00296,2023-August,7.0,9272.630000000001
PROD_00208,2023-August,11.0,5742.499999999999
PROD_00101,2023-August,6.0,6963.52
PROD_00052,2024-May,14.0,43834.22
PROD_00247,2024-May,13.0,3133.65
PROD_00234,2023-December,10.0,7512.96
PROD_00208,2025-February,23.0,11941.099999999999
PROD_00248,2025-February,10.0,6757.55
PROD_00128,2025-February,8.0,8568.29
